title,text
Did Miley Cyrus and Liam Hemsworth secretly get married?,Miley Cyrus සහ Liam Hemsworth රහසේ විවාහ වුණාද?
Paris Jackson & Cara Delevingne Enjoy Night Out In Matching Outfits: They Have â€˜Amazing Chemistryâ€™,"පැරිස් ජැක්සන් සහ කාරා ඩෙලිවින්ග්න් ගැලපෙන ඇඳුම් වලින් රාත්‍රිය භුක්ති විඳිති: ඔවුන් සතුව ""විස්මිත රසායන විද්‍යාව"" ඇත"
Celebrities Join Tax March in Protest of Donald Trump,ඩොනල්ඩ් ට්‍රම්ප්ට විරෝධය පළ කරමින් ප්‍රසිද්ධ පුද්ගලයන් බදු පෙළපාලියකට එක්වෙති
Cindy Crawford's daughter Kaia Gerber wears a wig after dining with Harry Styles,සින්ඩි ක්‍රෝෆර්ඩ්ගේ දියණිය Kaia Gerber හැරී ස්ටයිල්ස් සමඟ ආහාර ගැනීමෙන් පසු විග් එකක් පැළඳ සිටී
Full List of 2018 Oscar Nominations â€“ Variety,2018 ඔස්කාර් නාමයෝජනා සම්පූර්ණ ලැයිස්තුව - විවිධත්වය
Here's What Really Happened When JFK Jr. Met Princess Diana,JFK ජූනියර් ඩයනා කුමරිය මුණගැසුණු විට ඇත්තටම සිදු වූ දේ මෙන්න
Biggest celebrity scandals of 2016,2016 වසරේ විශාලතම කීර්තිමත් අපකීර්තිය
Caitlyn Jenner Addresses Rumored Romance With Sophia Hutchins,Caitlyn Jenner Sophia Hutchins සමඟ කටකතා පැතිර ගිය ආදර කතා අමතයි
Taylor Swift Reportedly Reacts To Tom Hiddlestonâ€™s Golden Globes Win,ටේලර් ස්විෆ්ට් ටොම් හිඩ්ල්ස්ටන්ගේ ගෝල්ඩන් ග්ලෝබ් ජයග්‍රහණයට ප්‍රතිචාර දක්වන බව වාර්තා වේ
"For The Love Of God, Why Can't Anyone Write Kate McKinnon A Good Movie Role?","දෙවියන්ගේ ආදරය සඳහා, කිසිවෙකුට කේට් මැකිනන් හොඳ චිත්‍රපට භූමිකාවක් ලිවිය නොහැක්කේ ඇයි?"
"Miley Cyrus, Liam Hemsworth Did NOT Get Married On Tybee Island, Despite Report","Miley Cyrus, Liam Hemsworth වාර්තාව තිබියදීත් Tybee Island හි විවාහ නොවීය"
Miley Cyrus Claims â€˜Satan Is A Nice Guy; Heâ€™s Misunderstoodâ€™,"මයිලි සයිරස් ප්‍රකාශ කරයි ""සාතන් හොඳ මිනිහෙක්; ඔහු වරදවා වටහාගෙන ඇත"
Selena Gomez Had The Perfect Response To News Of Justin Bieberâ€™s Engagement,ජස්ටින් බීබර්ගේ විවාහ ගිවිස ගැනීම පිළිබඳ පුවත් සඳහා සෙලීනා ගෝමස්ට නියම ප්‍රතිචාරයක් තිබුණි
Critics' Choice Awards 2018 Winners: The Complete List,විචාරකයන්ගේ තේරීම් සම්මාන 2018 ජයග්‍රාහකයින්: සම්පූර්ණ ලැයිස්තුව
"Jennifer Aniston, Justin Theroux Not Starting Dog Fostering And Adoption Business","Jennifer Aniston, Justin Theroux බල්ලන් ඇතිකිරීම සහ හදාගැනීමේ ව්‍යාපාරයක් ආරම්භ නොකරයි"
"Angelina Jolie Canâ€™t Get Over Heartbreak Of Losing Brad Pitt â€” Real Reason For Fury, Says Source",ඇන්ජලිනා ජොලීට බ්‍රැඩ් පිට් අහිමි වීමේ හද කම්පාවෙන් මිදිය නොහැකියි - කෝපයට සැබෑ හේතුව බව මූලාශ්‍රය පවසයි
Heâ€™s Hired! Ben Affleck Enlists Best Friend Matt Damon To Be His Life Coach,ඔහු කුලියට ගෙන ඇත! බෙන් ඇෆ්ලෙක් ඔහුගේ ජීවිත පුහුණුකරු වීමට හොඳම මිතුරා මැට් ඩේමන් බඳවා ගනී
Full statement: John McCain to vote no on Graham-Cassidy health care bill,සම්පූර්ණ ප්‍රකාශය: ජෝන් මැකේන් ග්‍රැහැම්-කැසිඩි සෞඛ්‍ය ආරක්ෂණ පනතට එරෙහිව ඡන්දය ප්‍රකාශ කරයි
Julia Roberts miracle baby at 50,50 හැවිරිදි ජූලියා රොබට්ස් ආශ්චර්යමත් බබා
Beyonce Sipping Tea Listening To Taylor Swiftâ€™s Album: Why Sheâ€™s Loving The Kanye West Diss Tracks,ටේලර් ස්විෆ්ට්ගේ ඇල්බමයට සවන් දෙමින් බියොන්සේ තේ තොලගාමින්: ඇයි ඇය කන්යේ වෙස්ට් ඩිස් ට්‍රැක්ස් වලට ආදරය කරන්නේ
"Blake Shelton, Gwen Stefani Talk 'Hookup' on 'The Voice'","බ්ලේක් ෂෙල්ටන්, ග්වෙන් ස්ටෙෆානි 'හඬ' පිළිබඳ 'හුකප්' කතා කරයි"
Miranda Lambert Desperate To Meet With Blake Shelton After His Reported Split From Gwen Stefani,මිරැන්ඩා ලැම්බර්ට් ග්වෙන් ස්ටෙෆානිගෙන් වෙන්වීමෙන් පසු බ්ලේක් ෂෙල්ටන් හමුවීමට මංමුලා සහගතය
Pregnant Kate Middleton Hit With Cocaine Bombshell,ගැබිනි කේට් මිඩ්ල්ටන් කොකේන් බෝම්බයකින් පහර දුන්නා
Jen Anistonâ€™s Split From Justin Theroux â€“ What Brad Pitt Really Thinks About It,ජෙන් ඇනිස්ටන්ගේ ජස්ටින් තෙරූක්ස්ගෙන් වෙන්වීම - බ්‍රැඩ් පිට් ඇත්තටම ඒ ගැන සිතන්නේ කුමක්ද?
Emmys 2017: What the Nominees Are Saying,එමීස් 2017: නාමිකයින් පවසන්නේ කුමක්ද?
"Caitlyn Jenner Slams the Kardashians, Says She Didn't Trust Them to Know About Her Gender Reassignment Surgery","Caitlyn Jenner Kardashians හට දොස් පවරයි, ඇයගේ ස්ත්‍රී පුරුෂ භාවය නැවත පැවරීමේ සැත්කම ගැන දැන ගැනීමට ඇය ඔවුන්ව විශ්වාස නොකළ බව පවසයි"
Chris Brown does not want Royalty to be like North West,ක්‍රිස් බ්‍රවුන් කැමති නැහැ රාජකීයයන් වයඹ වගේ වෙනවාට
"7 Questionable Details About Taylor Swift And Joe Alwyn's Relationship, Including Her ""Military-Like Mission"" To Keep It Under Wraps","ටේලර් ස්විෆ්ට් සහ ජෝ ඇල්වින්ගේ සම්බන්ධය පිළිබඳ ප්‍රශ්නකාරී විස්තර 7ක්, ඇගේ ""මිලිටරි වැනි මෙහෙයුම"" ඇතුළුව"
Lopez /LÃ³pez (accent on people's names),Lopez /LÃ³pez (මිනිසුන්ගේ නම් මත උච්චාරණය)
Nicole Kidman and Prince Harry named sexiest redheads,නිකොල් කිඩ්මන් සහ හැරී කුමරු සරාගීම රතු හිස ලෙස නම් කර ඇත
Jennifer Lawrence Says â€˜Mother!â€™ Led to Darren Aronofsky Split,"ජෙනිෆර් ලෝරන්ස් පවසන්නේ ""අම්මා!"" ඩැරන් ඇරොනොෆ්ස්කි භේදයට තුඩු දුන් බවයි"
Kristen Stewart is usual scowling self on night out with Robert Pattinson,ක්‍රිස්ටන් ස්ටුවර්ට් සාමාන්‍යයෙන් රොබට් පැටින්සන් සමඟ රාත්‍රියේදී ස්වයං වින්දනය කරයි
Johnny Depp Settles Lawsuit Against His Former Business Managers,ජොනී ඩෙප් ඔහුගේ හිටපු ව්‍යාපාර කළමනාකරුවන්ට එරෙහිව නඩුවක් විසඳයි
Halle Berry (And More) To Join Keanu Reeves In Third 'John Wick' Flick,Halle Berry (සහ තවත්) තුන්වන 'John Wick' Flick හි Keanu Reeves සමග එක් වීමට
Swift calls out label for being 'nervous' over pop album,ස්විෆ්ට් පොප් ඇල්බමය ගැන 'නොසන්සුන්' වීම සඳහා ලේබලය කැඳවයි
Kanye West & Kim Kardashian Are Having â€˜Best Sex of their Livesâ€™: Heâ€™s So Attracted To Her,"Kanye West සහ Kim Kardashian ""ඔවුන්ගේ ජීවිතයේ හොඳම ලිංගික හැසිරීම"": ඔහු ඇය වෙත එතරම් ආකර්ෂණය වී ඇත"
Kylie Jenner slams 'altered' photos amid pregnancy rumors,කයිලි ජෙනර් ගර්භණී කටකතා මධ්‍යයේ 'වෙනස් කළ' ඡායාරූපවලට දොස් කියයි
Kylie Jenner Jenner Kris Life Of Kylie,කයිලි ජෙනර් ජෙනර් ක්‍රිස් කයිලිගේ ජීවිතය
Pictures of Selena Gomez Over the Years,වසර ගණනාවක් පුරා සෙලීනා ගෝමස්ගේ පින්තූර
Katy Perry & Orlando Bloom Reportedly â€˜Back Onâ€™ After â€˜Robstenâ€™ Parties Together In LA,"කැටි පෙරී සහ ඔර්ලන්ඩෝ බ්ලූම් LA හි ""රොබ්ස්ටන්"" එකට සාදවලින් පසු ""නැවත ඔන්"" වාර්තා කරයි"
Ben Affleck & Jennifer Garner File For Divorce Amid Reconciliation Rumors,ප්‍රතිසන්ධාන කටකතා මධ්‍යයේ බෙන් ඇෆ්ලෙක් සහ ජෙනිෆර් ගාර්නර් දික්කසාද වීමට ගොනු කරයි
Josh Duhamel Gushes Over Jennifer Garner After Dating Rumors: â€˜Sheâ€™s An Incredible Womanâ€™,"ජෝෂ් ඩුහාමෙල් ජෙනිෆර් ගාර්නර් සමඟ පෙම් සබඳතාවක් ඇති කර ගත් කටකතා ගැන කතා කරයි: ""ඇය ඇදහිය නොහැකි කාන්තාවක්"""
"HollywoodLife Flip-Flops On Prince Harry, Meghan Markle Engagement",හැරී කුමරු සහ මේගන් මාර්කල් විවාහ ගිවිස ගැනීම පිළිබඳ හොලිවුඩ් ලයිෆ් ෆ්ලිප්-ෆ්ලොප්ස්
Anne Hathaway Angering â€˜Barbieâ€™ Movie Producers With Demands?,Anne Hathaway Angering â€˜Barbieâ€™ චිත්‍රපට නිෂ්පාදකයින්ට ඉල්ලීම් තිබේද?
Prince Charles Ordering Camilla Parker Bowles To Get Plastic Surgery To Save Marriage ,චාල්ස් කුමරු විවාහය බේරා ගැනීමට ප්ලාස්ටික් සැත්කමක් කිරීමට කැමිලා පාකර් බෝල්ස් අණ කරයි
Kris Jenner â€˜Impressedâ€™ By How Travis Scott Is Stepping Up & Taking Care Of Stormi & Kylie,"ට්‍රැවිස් ස්කොට් ස්ටෝමි සහ කයිලිව රැකබලා ගන්නා ආකාරය ගැන ක්‍රිස් ජෙනර් ""පැහැදුණා"""
